preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco
1100000.0;180.0;3;3.0;3;Fernão Dias;Rua Professor Nardelli Bemfica
1088000.0;80.0;3;2.0;2;Santo Antônio;Rua Paulo Afonso
450000.0;49.0;2;1.0;2;Castelo;Rua Elson Nunes de Souza
491330.0;60.0;2;2.0;1;Esplanada;Rua Boninas
195000.0;49.0;2;1.0;1;Europa;Rua Basiléia
345000.0;80.0;4;1.0;2;Cinquentenário;Rua Crisântemo
350000.0;95.0;2;1.0;1;Letícia;Rua Onofre Furtado da Silva
2100000.0;192.0;3;2.0;3;Luxemburgo;Rua Engenheiro Albert Scharle
370000.0;71.0;3;1.0;1;Manacás;Rua Maria de Souza Alves
463000.0;67.0;3;2.0;2;Rio Branco;Rua Newton da Costa Silveira
561100.0;54.0;2;2.0;1;Ventosa;Rua Paulo Piedade Campos
620000.0;93.0;3;2.0;2;Buritis;Rua Sílvio de Oliveira Martins
647000.0;71.0;2;1.0;2;Santa Branca;Rua Ramalho Ortigão
534500.0;70.0;3;2.0;2;Manacás;Rua Raimunda Simões da Silva
521400.0;65.0;3;1.0;1;Palmeiras;Rua Senhora do Porto
580000.0;70.0;3;1.0;2;Santa Mônica;Rua Basílio da Gama
980000.0;180.0;4;3.0;2;Serra;Rua Pouso Alto
400000.0;70.0;3;1.0;1;Buritis;Rua Tereza Mota Valadares
1050000.0;120.0;4;4.0;3;Alto Barroca;Rua Armindo Chaves
770000.0;82.0;3;2.0;2;Colégio Batista;Rua Álvares de Azevedo
650000.0;85.0;3;2.0;1;Castelo;Rua Castelo de Edimburgo
1570000.0;125.0;4;2.0;2;Santo Antônio;Rua Cristina
489000.0;67.0;3;2.0;2;Palmeiras;Rua Senhora do Porto
850000.0;85.0;3;2.0;2;Silveira;Rua Ilacir Pereira Lima
330000.0;69.0;3;2.0;1;Buritis;Rua Heitor Menin
1600000.0;145.0;4;2.0;2;Cruzeiro;Rua Ouro Fino
450000.0;75.0;4;2.0;2;Buritis;Rua Ernani Agricola
408331.0;52.0;2;1.0;1;Ventosa;Rua Paulo Piedade Campos
1100000.0;89.0;3;2.0;2;Palmares;Rua Joviano Naves
407000.0;93.0;3;1.0;1;Céu Azul;Rua Antônio José dos Santos
485000.0;80.0;3;2.0;1;Ouro Preto;Rua Jordânia
870000.0;84.0;3;3.0;2;Buritis;Rua Eli Seabra Filho
549900.0;88.0;3;3.0;2;Carlos Prates;Rua Itambacuri
1500000.0;143.0;4;3.0;4;Buritis;Rua Tito Guimarães
640000.0;67.0;2;2.0;2;Castelo;Rua Castelo de Belmonte
592450.0;71.0;2;2.0;2;Indaiá;Rua Boaventura
570000.0;75.0;3;2.0;2;Copacabana;Rua Viena
