preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco;bairro_tratada;bairro_mais_barato;bairro_norm;endereco_norm;latitude;longitude;CEP_opencage
870000.0;125.0;4;4.0;3;Ouro Preto;Rua Desembargador Paulo Mota;Ouro Preto;0;ouro preto;rua desembargador paulo mota;-19.8844311;-43.9827441;31320-262
302900.0;48.0;2;1.0;1;São Gabriel;Rua São Brás;São Gabriel;0;sao gabriel;rua sao bras;-19.92083;-43.93778;30160-033
714800.0;61.0;2;3.0;2;Grajaú;Rua Pilar;Grajaú;0;grajau;rua pilar;-19.937432;-43.9666198;30460-620
1090000.0;251.0;4;5.0;2;Liberdade;Rua Frei Manoel da Cruz;Liberdade;0;liberdade;rua frei manoel da cruz;-19.860816;-43.9540979;31270-180
590000.0;67.0;2;2.0;2;Ipiranga;Rua Doutor Furtado de Menezes;Ipiranga;0;ipiranga;rua doutor furtado de menezes;-19.8855493;-43.9335036;31160-210
1250000.0;117.0;3;3.0;2;Buritis;Rua Geraldo Lúcio Vasconcelos;Buritis;0;buritis;rua geraldo lucio vasconcelos;-19.9809148;-43.9751321;30575-855
615000.0;57.0;2;2.0;2;Nova Suíssa;Rua André Fernandes;Nova Suíssa;0;nova suissa;rua andre fernandes;-19.9322136;-43.9725414;30431-020
450000.0;56.0;2;2.0;1;Penha;Rua Cornélia;Outros;0;penha;rua cornelia;-19.8736878;-43.9123788;31080-020
240000.0;48.0;2;1.0;1;Candelária;Rua Farmacêutico Raul Machado;Candelária;0;candelaria;rua farmaceutico raul machado;-19.8111915;-43.9706009;31570-010
530000.0;360.0;3;2.0;1;Pindorama;Rua dos Apiacás;Outros;0;pindorama;rua dos apiacas;-19.9125485;-44.0194196;30865-060
453000.0;68.0;3;2.0;2;Rio Branco;Rua Doutor Niso;Rio Branco;0;rio branco;rua doutor niso;-19.8191804;-43.9834355;31525-410
670000.0;81.0;2;2.0;2;Itapoã;Rua Dona Queridinha;Itapoã;0;itapoa;rua dona queridinha;-19.8372468;-43.9624414;31710-100
